World Port Index Number;Main Port Name;Country Code;Digital Nautical Chart;Latitude;Longitude
7950.0;Maurer;United States;a1707640, coa17c, h1707960;40.533332999999999;-74.250000000000000
47620.0;Iharana;Madagascar;coa02d, gen02b;-13.350000000000000;50.000000000000000
47020.0;Chake Chake;Tanzania;coa02c, gen02a;-5.250000000000000;39.766666999999998
47005.0;Mjimwema Terminal;Tanzania;a0247005, coa02c, gen02a;-6.816667000000000;39.366667000000000
44804.0;Delta Terminal;Turkey;a1044880, coa10d, gen10b;36.850000000000001;36.166666999999997
50350.0;Cinta Oil Terminal;Indonesia;coa04a, gen04c;-5.500000000000000;106.233333000000002
38330.0;Europa Point;Gibraltar;a0838320, coa08o, gen08b, h0838320;36.133333000000000;-5.350000000000000
7010.0;New Harbor;United States;a1807100, coa18a, gen18a;43.866667000000000;-69.483333000000002
12900.0;Dtse / Gegua Oil Terminal;Brazil;a0112920, coa01f, gen01c, h0112920;-22.816666999999999;-43.149999999999999
48104.0;Sharmah;Saudi Arabia;coa10f, gen10c;27.933333000000001;35.250000000000000
9210.0;Norsworthy;United States;coa15a, gen15, h1509150;29.733332999999998;-95.200000000000003
6750.0;Minturn;United States;a1806700, coa18b, gen18a;44.149999999999999;-68.450000000000003
6820.0;Criehaven;United States;a1806920, coa18a, gen18a;43.833333000000003;-68.883332999999993
46691.0;North Point;Saint Helena, Ascension, and Tristan da Cunha;a0146670, gen01b;-7.883333000000000;-14.366667000000000
57433.0;Bongkot Terminal;Thailand;coa03d, gen03a;8.050000000000001;102.333332999999996
52350.0;Donggala;Indonesia;coa04c, gen04c;-0.650000000000000;119.733333000000002
42415.0;Larimna;Greece;a0942415, coa09d, gen09, h0942415;38.566667000000002;23.283332999999999
38420.0;Hornillo;Spain;a0838430, coa08o, gen08b;37.399999999999999;-1.550000000000000
40245.0;Melilli Oil Terminal;Italy;a0940250, coa09b, gen09;37.116667000000000;15.250000000000000
47942.0;Al Khair Oil Terminal;Sudan;a1047940, coa10g, gen10c;19.583333000000000;37.250000000000000
6670.0;Corea;United States;a1806700, coa18b, gen18a;44.399999999999999;-67.966667000000001
59550.0;Margosatubig;Philippines;coa11h, gen11b;7.583333000000000;123.166667000000004
45635.0;Arzew El Djedid;Algeria;a0845640, coa08o, gen08b, h0845630;35.816667000000002;-0.250000000000000
45822.0;Karabane;Senegal;coa01b, gen01a;12.566667000000001;-16.666667000000000
14175.0;Caleta Mina Elena;Chile;coa07h, gen07a;-52.683332999999998;-71.900000000000006
6970.0;Monhegan;United States;a1806920, coa18a, gen18a;43.766666999999998;-69.316666999999995
6710.0;Northeast Harbor;United States;a1806700, coa18b, gen18a;44.299999999999997;-68.283332999999999
6800.0;Bucks Harbor;United States;a1806920, coa18a, gen18a;44.333333000000003;-68.733333000000002
6830.0;Matinicus;United States;a1806920, coa18a, gen18a;43.866667000000000;-68.883332999999993
49460.0;Machilipatnam;India;coa03l, gen03a, h0349460;16.149999999999999;81.166667000000004
49875.0;Malong Marine Terminal;Malaysia;coa03b, gen03a;4.633333000000000;104.816666999999995
63090.0;Admiralty Bay;Antarctica;coa29c, gen29c;-62.083333000000003;-58.416666999999997
63110.0;Melchior Harbor;Antarctica;coa29c, gen29c;-64.316666999999995;-63.000000000000000
7900.0;Grasselli;United States;a1707640, coa17c, h1707810;40.616667000000000;-74.200000000000003
44807.0;Aksaz Limani;Turkey;a1044805, coa10c, gen10b, h1044808;36.833333000000003;28.383333000000000
46239.0;Egina Oil Terminal;Nigeria;coa01a, gen01b;3.066667000000000;6.700000000000000
47625.0;Antsohim Bondrona;Madagascar;coa02h, gen02b;-13.083333000000000;48.833333000000003
42180.0;Ayios Nikolaos;Greece;a0942050, coa09d, gen09, h0942230;37.983333000000002;23.533332999999999
43384.0;Borusan Fertilizer Jetty;Turkey;a1043410, coa10c, gen10b;40.416666999999997;29.100000000000001
63070.0;Ellefsen Harbor;Antarctica;a2963070, coa29d, gen29c, h2963070;-60.733333000000002;-45.033332999999999
63120.0;Andersen Harbor;Antarctica;coa29c, gen29c;-64.316666999999995;-62.933332999999998
11360.0;Baie Du Marigot;France;a1611370, coa16b, gen16, h1611370;18.066666999999999;-63.083333000000003
11372.0;Coles Bay Oil Terminal;Sint Maarten;a1611370, coa16b, gen16, h1611370;18.016667000000002;-63.083333000000003
48057.0;Zafarana Terminal;Egypt;a1048062, coa10f, gen10c;29.166667000000000;32.683332999999998
60205.0;Suizhang Gang;China;coa23e, gen23a;40.066667000000002;121.049999999999997
49685.0;Yetagun Marine Terminal;Burma;coa03p, gen03a;13.050000000000001;96.849999999999994
47989.0;Zeit Bay Lpg Terminal;Egypt;a1048015, coa10f, gen10c;27.800000000000001;33.566667000000002
